StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,fam_biden,fam_trump,fam_zuck,fam_musk,fav_biden_1,fav_trump_1,fav_zuck_1,fav_musk_1,t1_biden_1,t1_trump_1,t1_zuck_1,t1_musk_1,t2_biden_1,t2_trump_1,t2_zuck_1,t2_musk_1,Q1,Q2,Q3,Q4,Q5,transaction_id
2024-07-29 13:46:46,2024-07-29 13:47:50,IP Address,99.14.176.100,100,63,True,2024-07-29 13:47:51,R_1FLrgvZUn0TE4MZ,,,,,30.2702,-82.6254,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,0,8,0,5,,,,,,,,,Female,83,Republican,Neither liberal nor conservative,N/A,6Y8VJOZgn6fiqWYeRLSCP0
2024-07-29 13:47:31,2024-07-29 13:47:51,IP Address,172.3.163.94,100,19,True,2024-07-29 13:47:51,R_5QzrvNRbK8kiDAH,,,,,29.2007,-81.0388,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am NOT very familiar with Mark Zuckerberg and CANNOT recognize him by face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,,,,,,,,,,56RBMrO8cxqQhGxfuGNQSm
2024-07-29 13:47:09,2024-07-29 13:47:51,IP Address,174.213.246.2,100,41,True,2024-07-29 13:47:51,R_5zq1pVieALNFdbU,,,,,44.9427,-93.2871,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,0,10,1,10,,,,,,,,,Female,39,Republican,Conservative,None of the above,0hsYY33PPyMNYj4XrJPaHe
2024-07-29 13:47:40,2024-07-29 13:48:17,IP Address,75.182.27.186,100,36,True,2024-07-29 13:48:17,R_3NIMxvn2wxx0IEp,,,,,33.0273,-80.1768,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am NOT very familiar with Mark Zuckerberg and CANNOT recognize him by face,I am NOT very familiar with Elon Musk and CANNOT recognize him by face,,,,,,,,,,,,,,,,,,3S3YSLJtNFhhw7D7Tc3rea
2024-07-29 13:46:38,2024-07-29 13:48:17,IP Address,75.143.168.215,100,98,True,2024-07-29 13:48:18,R_7v1UhZb5KkpCSDL,,,,,35.5386,-82.7038,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,3,7,3,3,Female,28,Republican,Conservative,None of the above,5Va5D9Akvb7KRdX3sCO8AM
2024-07-29 13:47:20,2024-07-29 13:48:20,IP Address,174.170.24.107,100,59,True,2024-07-29 13:48:20,R_1V91NVRBU4Xds3v,,,,,29.7953,-95.4968,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,10,0,0,0,,,,,,,,,Male,37,Democrat,Liberal,Manufacturing,1i6S4jktkTPcOnCe9VmZJH
2024-07-29 13:48:00,2024-07-29 13:48:24,IP Address,50.81.39.38,100,24,True,2024-07-29 13:48:25,R_6eULGVnW8Xlk7Cj,,,,,38.2374,-95.735,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am NOT very familiar with Donald Trump and CANNOT recognize him by face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,,,,,,,,,,4lhoxmN2qYnD865VHGgX52
2024-07-29 13:46:43,2024-07-29 13:48:30,IP Address,69.4.133.149,100,106,True,2024-07-29 13:48:30,R_70nMl3JjmUB8xTo,,,,,38.548,-121.4597,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,10,0,5,0,,,,,Female,64,Democrat,Neither liberal nor conservative,N/A,6UN6ef134bsYZLMYYYrLeZ
2024-07-29 13:46:49,2024-07-29 13:48:38,IP Address,72.241.242.149,100,109,True,2024-07-29 13:48:39,R_6nTXGcnJTTHpIqt,,,,,41.6503,-83.5065,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,10,0,6,6,,,,,Female,47,Democrat,Liberal,N/A,3qS0JQJd2MHTLzL1XByxA9
2024-07-29 13:46:35,2024-07-29 13:48:44,IP Address,207.212.33.21,100,128,True,2024-07-29 13:48:45,R_1anlsdpGlgrXrW2,,,,,32.5799,-117.0694,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,0,9,5,7,Male,29,Republican,Conservative,Transportation,5H7r7Dr8DyNXOrD5FamPey
2024-07-29 13:48:07,2024-07-29 13:48:56,IP Address,64.151.24.158,100,48,True,2024-07-29 13:48:56,R_6Y3cv2FhjwtnG8m,,,,,38.9523,-94.7395,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am NOT very familiar with Mark Zuckerberg and CANNOT recognize him by face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,,,,,,,,,,2NV6HCppaDkcPjkSaYJsiO
2024-07-29 13:47:15,2024-07-29 13:49:00,IP Address,23.252.24.124,100,105,True,2024-07-29 13:49:00,R_745TAp1PqHgVxBv,,,,,33.8493,-80.7544,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,7,4,5,4,,,,,,,,,Female,54,Democrat,Liberal,N/A,6Y3Jarxauo15qInG5m0Ybu
2024-07-29 13:47:26,2024-07-29 13:49:11,IP Address,172.14.51.162,100,105,True,2024-07-29 13:49:12,R_783XwZKY26TseJz,,,,,29.8627,-95.5846,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,10,10,0,1,Female,29,Democrat,Conservative,None of the above,3uf7rfrVQDBXhXRMymrlef
2024-07-29 13:46:31,2024-07-29 13:49:21,IP Address,66.74.206.221,100,169,True,2024-07-29 13:49:22,R_52W9rkUKigxYylQ,,,,,33.7209,-116.2172,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,8,0,4,0,Female,75,Democrat,Neither liberal nor conservative,None of the above,5oxTV9QKscUlkBwtFwHRF5
2024-07-29 13:47:22,2024-07-29 13:49:29,IP Address,98.225.199.155,100,126,True,2024-07-29 13:49:30,R_7KfKETeOpbvWnto,,,,,40.1435,-75.3779,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,6,6,6,6,Female,44,Independent,Neither liberal nor conservative,None of the above,2xTyOYl7ZigNMa1kKeVfRj
2024-07-29 13:47:38,2024-07-29 13:49:41,IP Address,76.34.226.132,100,122,True,2024-07-29 13:49:42,R_1tJ4cOM8fTHQabY,,,,,41.4344,-81.6373,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,4,8,5,6,,,,,,,,,Female,65,Independent,Conservative,None of the above,6QSopU9nA6nVZUPFmA5W7A
2024-07-29 13:46:37,2024-07-29 13:49:43,IP Address,73.218.104.127,100,185,True,2024-07-29 13:49:44,R_7emYRitNKHymJfH,,,,,41.5538,-73.063,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,7,2,7,8,,,,,Male,50,Democrat,Conservative,Education,20eNLa6Oaf8GSuDQ4qHlt4
2024-07-29 13:47:28,2024-07-29 13:49:54,IP Address,147.0.253.202,100,145,True,2024-07-29 13:49:54,R_3rDOhffgTDEqxj5,,,,,39.2648,-84.3221,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,9,9,9,9,,,,,Female,50,Democrat,Conservative,Healthcare/Medical,23P7qEjn0cI2DHM8U2vYXj
2024-07-29 13:47:31,2024-07-29 13:50:15,IP Address,74.83.186.121,100,163,True,2024-07-29 13:50:15,R_6EssQ6nQxSY66uB,,,,,39.4272,-84.1664,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,4,3,3,4,,,,,Male,54,Republican,Neither liberal nor conservative,"Technology ",34Fru4oLPzM5nGByWCBmNg
2024-07-29 13:48:05,2024-07-29 13:50:42,IP Address,108.16.228.192,100,156,True,2024-07-29 13:50:43,R_7tFIrxcA7hTtfA3,,,,,39.9476,-75.1474,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,10,0,3,0,Female,48,Democrat,Liberal,None of the above,5wgn3z9LS3CUdXhRbrnKS6
2024-07-29 13:46:47,2024-07-29 13:50:56,IP Address,100.7.252.176,100,248,True,2024-07-29 13:50:56,R_1soTA4sYUIJAUfq,,,,,37.4,-77.4648,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,8,0,3,0,Male,72,Democrat,Neither liberal nor conservative,N/A,0PHThqMv0eM2U0uBl3uEj6
2024-07-29 13:48:30,2024-07-29 13:50:58,IP Address,23.131.248.20,100,148,True,2024-07-29 13:50:59,R_7OVbwM4aJn4ZehO,,,,,34.8961,-114.6,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,0,10,7,0,,,,,Male,75,Republican,Conservative,N/A,3QVykHnlIy7LBkERxf2bnn
2024-07-29 13:46:55,2024-07-29 13:50:59,IP Address,47.37.228.27,100,244,True,2024-07-29 13:51:00,R_5ifELQyy84QfPTH,,,,,34.9895,-81.928,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,5,6,6,7,,,,,Male,74,Republican,Conservative,N/A,7v1URJYsMsSCXxz8R9hok7
2024-07-29 13:48:07,2024-07-29 13:51:09,IP Address,162.245.68.241,100,182,True,2024-07-29 13:51:10,R_7AX11DfulCK6I6Z,,,,,26.7162,-80.0695,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,0,7,3,8,,,,,Female,79,Republican,Conservative,N/A,2fUngcXxhfJ9vchh8Yz5BN
2024-07-29 13:47:26,2024-07-29 13:51:21,IP Address,73.51.253.51,100,235,True,2024-07-29 13:51:22,R_3zC6R6yvhfVSLHE,,,,,42.0364,-88.324,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,4,4,6,6,,,,,,,,,Male,39,Republican,Conservative,"Technology ",0wlRvyPXmbM61JrQUNLyFg
2024-07-29 13:48:03,2024-07-29 13:51:51,IP Address,73.185.214.247,100,228,True,2024-07-29 13:51:51,R_5ixUgcznk0XIhrK,,,,,38.8868,-94.8223,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,0,10,6,7,Female,61,Republican,Conservative,None of the above,3jWRxwjdko22pU1VzdjNUe
2024-07-29 13:47:21,2024-07-29 13:53:31,IP Address,172.56.114.207,100,370,True,2024-07-29 13:53:32,R_7nAGSA9FmLVtlky,,,,,41.8333,-71.4314,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,7,0,4,3,,,,,Male,42,Independent,Liberal,"Technology ",1WuUdVKCDe8CjYopY6EtZD
2024-07-29 14:07:52,2024-07-29 14:07:59,IP Address,69.245.241.135,100,7,True,2024-07-29 14:08:00,R_1Do75p35VWXMfsN,,,,,41.5092,-87.5938,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am NOT very familiar with Elon Musk and CANNOT recognize him by face,,,,,,,,,,,,,,,,,,6rQe4098jj9AVoA7hSHvri
2024-07-29 14:06:58,2024-07-29 14:08:13,IP Address,96.38.166.86,100,75,True,2024-07-29 14:08:14,R_6FljtlyaxLrW6lJ,,,,,39.4987,-119.8202,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,8,7,5,5,,,,,,,,,Female,64,Independent,Neither liberal nor conservative,N/A,3vzQRRFhdtaBXdXSxt6o0n
2024-07-29 14:07:42,2024-07-29 14:08:19,IP Address,139.55.181.151,100,37,True,2024-07-29 14:08:20,R_5CxHJOBfDi1J0tC,,,,,35.8684,-80.315,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am NOT very familiar with Mark Zuckerberg and CANNOT recognize him by face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,,,,,,,,,,7H7DViUR8eZpGLnFLk3ru5
2024-07-29 14:07:36,2024-07-29 14:08:32,IP Address,24.253.239.152,100,55,True,2024-07-29 14:08:32,R_7kIBQcFsaTFCtq4,,,,,35.7211,-97.5174,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am NOT very familiar with Mark Zuckerberg and CANNOT recognize him by face,I am NOT very familiar with Elon Musk and CANNOT recognize him by face,,,,,,,,,,,,,,,,,,4byZNnsCnxJNt1lv3RQcqQ
2024-07-29 14:09:05,2024-07-29 14:09:24,IP Address,47.212.113.238,100,19,True,2024-07-29 14:09:24,R_6s6EOJ3ymvn4KNb,,,,,35.6206,-77.3944,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am NOT very familiar with Mark Zuckerberg and CANNOT recognize him by face,I am NOT very familiar with Elon Musk and CANNOT recognize him by face,,,,,,,,,,,,,,,,,,56kStadD1KXZtCBtfKlt2T
2024-07-29 14:08:18,2024-07-29 14:09:27,IP Address,98.2.194.46,100,68,True,2024-07-29 14:09:28,R_3ppJ2DvsdgwPRxn,,,,,43.7996,-70.1779,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,7,0,4,1,,,,,,,,,Female,79,Republican,Neither liberal nor conservative,Retail,0bXDL9BTMKk9vWxujuQWZB
2024-07-29 14:07:53,2024-07-29 14:09:30,IP Address,174.218.82.208,100,97,True,2024-07-29 14:09:30,R_3QDI2KCQzs0TFJd,,,,,34.0322,-118.2836,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,10,5,8,6,,,,,Female,42,Republican,Conservative,Finance,6XMx9dSKKPSX4lbBxhjKka
2024-07-29 13:48:20,2024-07-29 14:09:52,IP Address,141.156.92.186,100,1291,True,2024-07-29 14:09:52,R_78YsLnBhUJkyV0X,,,,,39.1361,-77.2824,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,6,6,6,5,Male,18,Democrat,Conservative,"Technology ",4K6J3c3zGHlUZM6zbqr8HM
2024-07-29 14:07:34,2024-07-29 14:11:09,IP Address,70.15.18.105,100,214,True,2024-07-29 14:11:10,R_7rvwO6DG022pA9E,,,,,40.8545,-75.1683,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,0,10,0,0,Female,69,Republican,Decline to answer,N/A,48BYD7562pI81twqeidlCC
2024-07-29 14:09:12,2024-07-29 14:12:17,IP Address,96.72.75.61,100,184,True,2024-07-29 14:12:18,R_5K3wrJcVMX43YZ0,,,,,41.4893,-87.5132,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,7,2,7,3,Male,57,Democrat,Liberal,N/A,2Gt9suKFTag7Adez0RM1Qg
2024-07-29 14:09:10,2024-07-29 14:13:44,IP Address,73.182.147.200,100,274,True,2024-07-29 14:13:45,R_7RX3OXte5wDz29U,,,,,42.4337,-71.4568,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,6,3,6,6,,,,,Male,80,Democrat,Liberal,None of the above,0iwDGOylIfVYXiibamTwoR
2024-07-29 17:25:53,2024-07-29 17:26:15,IP Address,68.62.0.248,100,22,True,2024-07-29 17:26:16,R_5EGUDPhgaTM6s6Z,,,,,42.4122,-83.0547,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,10,10,10,10,,,,,,,,,Male,29,Independent,Liberal,Finance,2ay2kiuIPQVh5fNW37aJjF
2024-07-29 17:26:08,2024-07-29 17:26:25,IP Address,71.38.135.12,100,17,True,2024-07-29 17:26:26,R_5kdpnczJzlIkDXC,,,,,36.1236,-115.2757,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am NOT very familiar with Mark Zuckerberg and CANNOT recognize him by face,I am NOT very familiar with Elon Musk and CANNOT recognize him by face,,,,,,,,,,,,,,,,,,5q7Ng0rxL7XU7aPJmgyVki
